"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1876252238886342920","Mon Jan 06 14:17:23 +0000 2025","0","@iansaybani Duh... Dari kapan Kak lemotnya? Sini kita bantu ya -Feri","1876271853209260544","","iansaybani","in","Indonesia","0","0","0","https://x.com/Telkomsel/status/1876271853209260544","255409050","Telkomsel"
"1876271704491893212","Mon Jan 06 14:16:48 +0000 2025","0","cantik iya ganteng iya kurangnya apasih manusia satu ini? https://t.co/Qy93kC24Lm","1876271704491893212","https://pbs.twimg.com/amplify_video_thumb/1876266404028239872/img/2sDOCSDxR-kKHl7L.jpg","","in","𐤀","0","1","0","https://x.com/skyndut/status/1876271704491893212","1523935760562327552","skyndut"
"1876266818882752802","Mon Jan 06 14:16:12 +0000 2025","0","@taeraegg https://t.co/Srp8nTu6nU ENIH BY","1876271551861186876","","taeraegg","in","09 pls jangan panggil kak","0","0","0","https://x.com/JiwoongIndihome/status/1876271551861186876","1388347834743672839","JiwoongIndihome"
"1876266818882752802","Mon Jan 06 14:16:05 +0000 2025","0","@gyubiukie https://t.co/Srp8nTu6nU enih by","1876271524396875935","","gyubiukie","in","09 pls jangan panggil kak","0","0","0","https://x.com/JiwoongIndihome/status/1876271524396875935","1388347834743672839","JiwoongIndihome"
"1876250531162988907","Mon Jan 06 14:15:59 +0000 2025","0","@bulanpurnamaax Makasih ya Kak udah rekomendasiin Telkomsel -Feri","1876271498492821752","","bulanpurnamaax","in","Indonesia","0","0","0","https://x.com/Telkomsel/status/1876271498492821752","255409050","Telkomsel"
"1876271346981998996","Mon Jan 06 14:15:23 +0000 2025","0","@TelkomselHalo tolong kejelasannya dong. Ini sama aja saya ditipu. Saya purchase via @gopayindonesia tertulis dengan jelas (100k untuk 100GB. Gambar 1-2) Setelah saya purchase kok jadi cuma 80GB. Tolong kejelasannya dan ganti ruginya yaa @Telkomsel saya merasa dirugikan https://t.co/EibDZ2qbhi","1876271346981998996","https://pbs.twimg.com/media/Ggna2A6bcAAt_We.jpg","TelkomselHalo","in","","0","4","0","https://x.com/iooooohere/status/1876271346981998996","1720460417242406912","iooooohere"
"1876266818882752802","Mon Jan 06 14:15:02 +0000 2025","0","@jiwoongub https://t.co/Srp8nTu6nU ENIH KAK PURA","1876271259958587756","","jiwoongub","in","09 pls jangan panggil kak","0","0","0","https://x.com/JiwoongIndihome/status/1876271259958587756","1388347834743672839","JiwoongIndihome"
"1876266818882752802","Mon Jan 06 14:14:52 +0000 2025","0","@ZHANGHA0XD https://t.co/Srp8nTu6nU enih kk","1876271218841850329","","ZHANGHA0XD","in","09 pls jangan panggil kak","0","1","0","https://x.com/JiwoongIndihome/status/1876271218841850329","1388347834743672839","JiwoongIndihome"
"1876269252342337695","Mon Jan 06 14:14:48 +0000 2025","0","@Indiraise_ID @Telkomsel @SP_IndiraJKT48 rill kah mint","1876271200894439741","","Indiraise_ID","in","","0","1","0","https://x.com/taratagIia/status/1876271200894439741","1369839818268549120","taratagIia"
"1876266818882752802","Mon Jan 06 14:14:46 +0000 2025","1","@nookgyubs_ https://t.co/Srp8nTu6nU ENIH ASHAAA","1876271194661638561","","nookgyubs_","in","09 pls jangan panggil kak","0","1","0","https://x.com/JiwoongIndihome/status/1876271194661638561","1388347834743672839","JiwoongIndihome"
"1876271166501093805","Mon Jan 06 14:14:40 +0000 2025","0","asli telkomsel lgi knapa dah slalu gabisa top up pulsa/data via eWallet udh 2 harian ini dicobaa gak bisa² woyy gimana nihh @Telkomsel","1876271166501093805","","","in","","0","1","0","https://x.com/wdymasshole/status/1876271166501093805","1777272390655062016","wdymasshole"
"1876271125573054972","Mon Jan 06 14:14:30 +0000 2025","0","pengen nikahin nani detik ini juga https://t.co/Vu6q3IaOnN","1876271125573054972","https://pbs.twimg.com/amplify_video_thumb/1876262692505473024/img/TO5AUrpGdoZTHe3H.jpg","","in","𐤀","0","0","0","https://x.com/skyndut/status/1876271125573054972","1523935760562327552","skyndut"
"1876271057591849404","Mon Jan 06 14:14:14 +0000 2025","0","@Telkomsel min app My Telkomsel kok gabisa di buka-buka ya?? Udah dari seminggu yang lalu sampe sekarang gabisa dibuka juga. Di clear cache udah di install ulang juga sudah. Saya liat di replyan akun telkomsel yang terkendala seperti ini juga banyak. Solusinya bagaimana nih min?","1876271057591849404","","Telkomsel","in","","0","1","0","https://x.com/OurWord99_/status/1876271057591849404","1142625877882097665","OurWord99_"
"1876270895045738839","Mon Jan 06 14:13:35 +0000 2025","0","GAK SEMUA ORANG KUAT YA HIRUNKIT https://t.co/Vu6q3IaOnN","1876270895045738839","https://pbs.twimg.com/amplify_video_thumb/1876262692505473024/img/TO5AUrpGdoZTHe3H.jpg","","in","𐤀","0","0","0","https://x.com/skyndut/status/1876270895045738839","1523935760562327552","skyndut"
"1876251266881655093","Mon Jan 06 14:13:13 +0000 2025","0","@noztxlgia_ Wah... Makasih ya Kak udah pake dan percaya sama jaringan Telkomsel. Terus setia bareng Telkomsel ya Kak -Feri","1876270801013657965","","noztxlgia_","in","Indonesia","0","1","0","https://x.com/Telkomsel/status/1876270801013657965","255409050","Telkomsel"
